gene_symbol,ensg_id,gene_type,gene_length,ensp_id,protein_length
TSPAN6,ENSG00000000003,protein_coding,4530,ENSP00000362111,245
TNMD,ENSG00000000005,protein_coding,1476,ENSP00000362122,317
DPM1,ENSG00000000419,protein_coding,9276,ENSP00000360640,295
SCYL3,ENSG00000000457,protein_coding,6883,ENSP00000356744,742
C1orf112,ENSG00000000460,protein_coding,5970,ENSP00000286031,853
FGR,ENSG00000000938,protein_coding,3382,ENSP00000363116,529
CFH,ENSG00000000971,protein_coding,15284,ENSP00000356399,1231
FUCA2,ENSG00000001036,protein_coding,2822,ENSP00000002165,467
GCLC,ENSG00000001084,protein_coding,8618,ENSP00000495686,639
NFYA,ENSG00000001167,protein_coding,6209,ENSP00000345702,347
STPG1,ENSG00000001460,protein_coding,8511,ENSP00000337461,334
NIPAL3,ENSG00000001461,protein_coding,11672,ENSP00000363520,406
LAS1L,ENSG00000001497,protein_coding,12555,ENSP00000363944,734
ENPP4,ENSG00000001561,protein_coding,4644,ENSP00000318066,453
SEMA3F,ENSG00000001617,protein_coding,4826,ENSP00000002829,785
CFTR,ENSG00000001626,protein_coding,16821,ENSP00000003084,1480
ANKIB1,ENSG00000001629,protein_coding,7389,ENSP00000265742,1089
CYP51A1,ENSG00000001630,protein_coding,4171,ENSP00000003100,509
KRIT1,ENSG00000001631,protein_coding,21110,ENSP00000344668,736
RAD52,ENSG00000002016,protein_coding,4503,ENSP00000351284,418
BAD,ENSG00000002330,protein_coding,1708,ENSP00000309103,168
LAP3,ENSG00000002549,protein_coding,3779,ENSP00000226299,519
CD99,ENSG00000002586,protein_coding,4858,ENSP00000370588,185
HS3ST1,ENSG00000002587,protein_coding,7435,ENSP00000002596,307
AOC1,ENSG00000002726,protein_coding,3786,ENSP00000411613,770
WNT16,ENSG00000002745,protein_coding,3264,ENSP00000222462,365
HECW1,ENSG00000002746,protein_coding,13935,ENSP00000379228,1606
MAD1L1,ENSG00000002822,protein_coding,6955,ENSP00000265854,718
LASP1,ENSG00000002834,protein_coding,7061,ENSP00000325240,261
SNX11,ENSG00000002919,protein_coding,4133,ENSP00000352175,270
TMEM176A,ENSG00000002933,protein_coding,3477,ENSP00000004103,235
M6PR,ENSG00000003056,protein_coding,3585,ENSP00000000412,277
KLHL13,ENSG00000003096,protein_coding,6928,ENSP00000419803,658
CYP26B1,ENSG00000003137,protein_coding,4839,ENSP00000001146,512
ICA1,ENSG00000003147,protein_coding,4883,ENSP00000403982,512
